period,respondent,respondent-name,fueltype,type-name,value,value-units
2025-07-13 03:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,15349.0,megawatthours
2025-07-13 03:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3709.0,megawatthours
2025-07-13 03:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-13 03:00:00,FPL,Florida Power & Light Co.,OTH,Other,273.0,megawatthours
2025-07-13 03:00:00,FPL,Florida Power & Light Co.,SUN,Solar,-1.0,megawatthours
2025-07-13 02:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,16433.0,megawatthours
2025-07-13 02:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3704.0,megawatthours
2025-07-13 02:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-13 02:00:00,FPL,Florida Power & Light Co.,OTH,Other,282.0,megawatthours
2025-07-13 02:00:00,FPL,Florida Power & Light Co.,SUN,Solar,0.0,megawatthours
2025-07-13 01:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,16885.0,megawatthours
2025-07-13 01:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3705.0,megawatthours
2025-07-13 01:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-13 01:00:00,FPL,Florida Power & Light Co.,OTH,Other,356.0,megawatthours
2025-07-13 01:00:00,FPL,Florida Power & Light Co.,SUN,Solar,70.0,megawatthours
2025-07-13 00:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,16626.0,megawatthours
2025-07-13 00:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3704.0,megawatthours
2025-07-13 00:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-13 00:00:00,FPL,Florida Power & Light Co.,OTH,Other,597.0,megawatthours
2025-07-13 00:00:00,FPL,Florida Power & Light Co.,SUN,Solar,841.0,megawatthours
2025-07-12 23:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,16840.0,megawatthours
2025-07-12 23:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3703.0,megawatthours
2025-07-12 23:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 23:00:00,FPL,Florida Power & Light Co.,OTH,Other,531.0,megawatthours
2025-07-12 23:00:00,FPL,Florida Power & Light Co.,SUN,Solar,1731.0,megawatthours
2025-07-12 22:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,16653.0,megawatthours
2025-07-12 22:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3704.0,megawatthours
2025-07-12 22:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 22:00:00,FPL,Florida Power & Light Co.,OTH,Other,495.0,megawatthours
2025-07-12 22:00:00,FPL,Florida Power & Light Co.,SUN,Solar,2722.0,megawatthours
2025-07-12 21:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,16477.0,megawatthours
2025-07-12 21:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3707.0,megawatthours
2025-07-12 21:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 21:00:00,FPL,Florida Power & Light Co.,OTH,Other,451.0,megawatthours
2025-07-12 21:00:00,FPL,Florida Power & Light Co.,SUN,Solar,3761.0,megawatthours
2025-07-12 20:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,16284.0,megawatthours
2025-07-12 20:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3708.0,megawatthours
2025-07-12 20:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 20:00:00,FPL,Florida Power & Light Co.,OTH,Other,423.0,megawatthours
2025-07-12 20:00:00,FPL,Florida Power & Light Co.,SUN,Solar,4965.0,megawatthours
2025-07-12 19:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,16388.0,megawatthours
2025-07-12 19:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3713.0,megawatthours
2025-07-12 19:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 19:00:00,FPL,Florida Power & Light Co.,OTH,Other,438.0,megawatthours
2025-07-12 19:00:00,FPL,Florida Power & Light Co.,SUN,Solar,5449.0,megawatthours
2025-07-12 18:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,16001.0,megawatthours
2025-07-12 18:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3712.0,megawatthours
2025-07-12 18:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 18:00:00,FPL,Florida Power & Light Co.,OTH,Other,478.0,megawatthours
2025-07-12 18:00:00,FPL,Florida Power & Light Co.,SUN,Solar,5709.0,megawatthours
2025-07-12 17:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,14197.0,megawatthours
2025-07-12 17:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3714.0,megawatthours
2025-07-12 17:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 17:00:00,FPL,Florida Power & Light Co.,OTH,Other,407.0,megawatthours
2025-07-12 17:00:00,FPL,Florida Power & Light Co.,SUN,Solar,6074.0,megawatthours
2025-07-12 16:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,12804.0,megawatthours
2025-07-12 16:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3714.0,megawatthours
2025-07-12 16:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 16:00:00,FPL,Florida Power & Light Co.,OTH,Other,309.0,megawatthours
2025-07-12 16:00:00,FPL,Florida Power & Light Co.,SUN,Solar,5987.0,megawatthours
2025-07-12 15:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,11425.0,megawatthours
2025-07-12 15:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3718.0,megawatthours
2025-07-12 15:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 15:00:00,FPL,Florida Power & Light Co.,OTH,Other,279.0,megawatthours
2025-07-12 15:00:00,FPL,Florida Power & Light Co.,SUN,Solar,5448.0,megawatthours
2025-07-12 14:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,10208.0,megawatthours
2025-07-12 14:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3719.0,megawatthours
2025-07-12 14:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 14:00:00,FPL,Florida Power & Light Co.,OTH,Other,185.0,megawatthours
2025-07-12 14:00:00,FPL,Florida Power & Light Co.,SUN,Solar,4537.0,megawatthours
2025-07-12 13:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,9743.0,megawatthours
2025-07-12 13:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3722.0,megawatthours
2025-07-12 13:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 13:00:00,FPL,Florida Power & Light Co.,OTH,Other,182.0,megawatthours
2025-07-12 13:00:00,FPL,Florida Power & Light Co.,SUN,Solar,2766.0,megawatthours
2025-07-12 12:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,9968.0,megawatthours
2025-07-12 12:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3721.0,megawatthours
2025-07-12 12:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 12:00:00,FPL,Florida Power & Light Co.,OTH,Other,184.0,megawatthours
2025-07-12 12:00:00,FPL,Florida Power & Light Co.,SUN,Solar,675.0,megawatthours
2025-07-12 11:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,9918.0,megawatthours
2025-07-12 11:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3720.0,megawatthours
2025-07-12 11:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 11:00:00,FPL,Florida Power & Light Co.,OTH,Other,185.0,megawatthours
2025-07-12 11:00:00,FPL,Florida Power & Light Co.,SUN,Solar,1.0,megawatthours
2025-07-12 10:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,9905.0,megawatthours
2025-07-12 10:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3723.0,megawatthours
2025-07-12 10:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 10:00:00,FPL,Florida Power & Light Co.,OTH,Other,183.0,megawatthours
2025-07-12 10:00:00,FPL,Florida Power & Light Co.,SUN,Solar,0.0,megawatthours
2025-07-12 09:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,10030.0,megawatthours
2025-07-12 09:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3727.0,megawatthours
2025-07-12 09:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 09:00:00,FPL,Florida Power & Light Co.,OTH,Other,184.0,megawatthours
2025-07-12 09:00:00,FPL,Florida Power & Light Co.,SUN,Solar,0.0,megawatthours
2025-07-12 08:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,10496.0,megawatthours
